"","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP"
"STRG.15869",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32
"Mcavernosa30960",355,230,288,289,180,383,176,169,243,357,317,330,284,366,236
"Mcavernosa24806",1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061
"Mcavernosa30573",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23
"Mcavernosa30572",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55
"Mcavernosa30575",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11
"Mcavernosa30574",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21
"Mcavernosa05091",96,57,165,322,55,99,56,66,199,78,55,79,76,92,64
"Mcavernosa04010",31,14,24,57,38,30,34,31,31,26,11,36,29,75,45
"Mcavernosa12089",1304,789,1904,4427,147,1542,442,415,3059,802,1271,1301,504,637,744
"Mcavernosa28951",56,32,12,17,23,33,46,24,17,6,16,39,34,39,28
"Mcavernosa10782",162,71,44,59,67,95,63,70,90,66,55,61,118,133,75
"Mcavernosa13780",84,87,32,102,801,81,113,91,125,47,102,56,121,103,40
"Mcavernosa05196",51,13,1525,2738,15,27,68,22,12,33,16,18,47,300,13
"Mcavernosa11724",574,372,476,808,338,496,300,321,458,461,378,494,372,504,360
"Mcavernosa30729",325,252,156,352,123,328,221,292,286,198,285,324,216,259,274
"Mcavernosa03628",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64
"Mcavernosa26093",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64
"Mcavernosa24709",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368
"Mcavernosa18652",38,9,6,17,4,12,24,56,6,7,6,8,292,105,30
"Mcavernosa07006",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56
"Mcavernosa13956",7,8,135,167,11,21,0,14,363,34,8,20,34,43,5
"Mcavernosa02968",38,69,45,111,197,81,69,76,59,18,109,32,82,228,90
"Mcavernosa15503",54,46,13,28,18,57,39,23,36,15,49,64,42,78,45
"Mcavernosa18273",331,216,573,874,112,400,135,137,596,280,278,330,176,222,221
"Mcavernosa11839",3382,2263,2683,6319,2526,3300,2411,2986,4458,2242,2207,3191,2109,4740,3084
"Mcavernosa01732",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122
"Mcavernosa00103",113,92,165,357,32,129,52,59,282,97,144,111,95,93,77
"Mcavernosa29012",334,215,201,411,99,286,197,196,211,157,346,291,261,280,220
"Mcavernosa20093",275,194,183,412,199,276,172,182,338,171,168,249,221,353,224
"Mcavernosa25968",309,88,48,188,951,96,148,153,119,68,52,95,294,337,123
"Mcavernosa33068",55,37,34,90,39,48,38,46,39,23,41,63,37,71,41
"Mcavernosa30571",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12
"Mcavernosa30570",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17
"Mcavernosa33020",61,38,26,39,46,46,24,36,35,15,33,49,29,54,36
"Mcavernosa03157",274,139,152,300,731,246,155,401,120,120,145,206,160,231,294
"Mcavernosa02761",726,414,216,594,879,733,318,373,346,132,415,632,490,746,620
"Mcavernosa10311",493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444
"Mcavernosa08717",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67
"Mcavernosa21617",120,85,227,409,44,164,60,88,249,150,115,158,77,96,99
"Mcavernosa18547",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125
"Mcavernosa12043",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540
"Mcavernosa00001",14,10,76,83,9,19,8,9,136,3,0,8,11,31,13
"Mcavernosa16456",67,32,38,119,125,40,72,36,82,33,33,57,41,76,35
"Mcavernosa01252",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46
"Mcavernosa30410",169,47,12,7,32,166,11,50,6,14,7,0,215,170,69
"Mcavernosa13005",70,23,117,209,52,40,45,42,130,16,30,39,36,51,50
"Mcavernosa02620",29,24,5,25,44,25,18,22,3,25,10,24,20,22,18
"Mcavernosa02621",69,42,0,31,108,62,27,26,0,15,35,47,45,52,32
"Mcavernosa09510",81,47,41,97,41,65,44,62,81,35,84,89,61,66,55
"Mcavernosa14558",206,111,104,231,112,205,113,103,144,92,169,183,145,217,129
"Mcavernosa13241",444,216,156,317,221,299,290,141,189,152,249,228,263,539,177
"Mcavernosa02339",159,84,190,578,44,148,65,81,358,85,89,148,94,132,105
"Mcavernosa15302",74,2302,16,139,4,89,436,411,30,91,123,108,434,546,453
"Mcavernosa13828",399,226,507,1079,154,398,184,185,689,280,314,373,237,271,303
"Mcavernosa18489",23,15,6,21,5,24,13,22,9,6,33,27,20,26,19
"Mcavernosa25973",360,72,97,262,665,122,227,206,122,79,60,81,281,374,167
"Mcavernosa22347",639,121,47,42,85,544,47,145,71,119,49,12,700,569,169
"Mcavernosa22344",526,73,27,18,54,345,31,97,77,102,65,17,605,496,108
"Mcavernosa24249",64,5,14,36,12,39,24,210,15,32,9,17,364,51,26
"Mcavernosa26827",40,48,22,33,9,37,97,628,3,0,49,50,58,128,155
"Mcavernosa07053",23,26,310,735,16,71,24,3022,19,19,27,15,33,219,792
