"","GO.IDs"
"109","GO:0000112"
"3811","GO:0005575"
"3818","GO:0005576"
"3922","GO:0005675"
"3935","GO:0005689"
"3957","GO:0005721"
"4004","GO:0005760"
"4069","GO:0005827"
"4152","GO:0005912"
"6444","GO:0008623"
"10432","GO:0016589"
"10434","GO:0016590"
"13597","GO:0030027"
"14203","GO:0030686"
"14784","GO:0031209"
"14788","GO:0031213"
"14853","GO:0031262"
"16173","GO:0032433"
"18715","GO:0034693"
"19033","GO:0034998"
"19403","GO:0036126"
"30325","GO:0070652"
"30549","GO:0071005"
"30560","GO:0071013"
"30581","GO:0071817"
"30588","GO:0072686"
"31085","GO:0089701"
"31119","GO:0097125"
"31120","GO:0097136"
"31127","GO:0098975"
"31177","GO:1990752"
