"","x"
"1","OG0001930"
"2","OG0000000"
"3","OG0000414"
"4","OG0001072"
"5","OG0002427"
"6","OG0000464"
"7","OG0001711"
"8","OG0000445"
"9","OG0011190"
"10","OG0001386"
"11","OG0001387"
"12","OG0001874"
"13","OG0005897"
"14","OG0004553"
"15","OG0008019"
"16","OG0002134"
"17","OG0000989"
"18","OG0008062"
"19","OG0001272"
"20","OG0004605"
"21","OG0001274"
"22","OG0003060"
"23","OG0008234"
"24","OG0011630"
"25","OG0007101"
"26","OG0006092"
"27","OG0002238"
"28","OG0011685"
"29","OG0004604"
"30","OG0003084"
"31","OG0003715"
"32","OG0011825"
"33","OG0011843"
"34","OG0001757"
"35","OG0011932"
"36","OG0000003"
"37","OG0008561"
"38","OG0012158"
"39","OG0001506"
"40","OG0000127"
"41","OG0000090"
"42","OG0003132"
"43","OG0000015"
"44","OG0000135"
"45","OG0001859"
"46","OG0012391"
"47","OG0012393"
"48","OG0006386"
"49","OG0001570"
"50","OG0004834"
"51","OG0008302"
"52","OG0006445"
"53","OG0000557"
"54","OG0002101"
"55","OG0008921"
"56","OG0002904"
"57","OG0002830"
"58","OG0000221"
"59","OG0008945"
"60","OG0001298"
"61","OG0000990"
"62","OG0000826"
"63","OG0002315"
"64","OG0012773"
"65","OG0004944"
"66","OG0006571"
"67","OG0000124"
"68","OG0000487"
"69","OG0012911"
"70","OG0000882"
"71","OG0000850"
"72","OG0004978"
"73","OG0000469"
"74","OG0000008"
"75","OG0000491"
"76","OG0000767"
"77","OG0000138"
"78","OG0000355"
"79","OG0013114"
"80","OG0004255"
"81","OG0007349"
"82","OG0006755"
"83","OG0009461"
"84","OG0013433"
"85","OG0001808"
"86","OG0001073"
"87","OG0000272"
"88","OG0000865"
"89","OG0008220"
"90","OG0007378"
"91","OG0002149"
"92","OG0000001"
"93","OG0003466"
"94","OG0004326"
"95","OG0005597"
"96","OG0005604"
"97","OG0007132"
"98","OG0002171"
"99","OG0007569"
"100","OG0002527"
"101","OG0000030"
"102","OG0005579"
